,MEMBER_NO,FFP_days,FFP_TIER,DAYS_FROM_LAST_TO_END,FLIGHT_COUNT,avg_discount,SEG_KM_SUM,P1Y_Flight_Count,L1Y_Flight_Count,runoff_flag
101,103,1231,4,522,3,0.577378243,4394,3,0,1
102,104,1229,4,317,2,0.8,3934,1,1,1
103,105,1229,4,193,2,0.564818653,1737,0,2,1
104,106,1229,4,156,5,0.485436228,5112,2,3,0
105,107,1223,4,304,4,0.603602139,4861,2,2,1
106,108,1229,4,79,2,0.7429058559999999,4047,0,2,0
107,109,1231,4,550,2,0.551242236,2254,2,0,1
108,110,1223,4,25,11,0.575136031,12975,2,9,0
109,111,1219,4,2,10,0.7213049109999999,7717,0,10,0
110,112,1223,4,225,8,0.791664195,12811,6,2,0
111,113,1198,4,66,6,0.803333333,11802,0,6,0
112,114,1223,4,53,4,0.84596099,6306,0,4,0
113,115,1986,5,27,78,0.824487527,61691,34,44,0
114,116,1198,4,18,3,0.557232207,2782,0,3,0
115,117,1165,4,2,5,0.4455510620000001,9890,0,5,0
116,118,1223,4,290,2,0.873566974,3367,0,2,1
117,119,1223,4,4,6,1.178769619,11086,0,6,0
118,120,1219,4,614,3,0.872099087,3068,3,0,1
119,121,1219,4,66,9,0.524485871,13518,4,5,0
120,122,1219,4,2,3,1.006921348,1780,1,2,0
121,123,1198,6,8,13,1.222514155,17485,4,9,0
122,124,1198,4,180,3,0.8647811,3746,0,3,1
123,126,1219,4,163,6,0.85617395,7117,3,3,0
124,127,1219,4,559,3,0.7,2730,3,0,1
125,128,1219,4,50,2,0.72,4154,0,2,1
126,129,1219,4,715,2,0.275,4880,2,0,1
127,130,1603,4,67,12,0.520182283,15251,6,6,0
128,131,1596,4,69,2,0.605,3934,0,2,1
129,132,1332,4,347,2,0.663934426,1647,1,1,1
130,133,1254,4,146,4,0.689282391,5588,0,4,1
131,134,841,4,403,2,0.875,2780,2,0,1
132,135,1212,4,159,11,0.419340481,19120,6,5,0
133,136,1219,4,116,2,0.68686747,1577,0,2,0
134,137,1212,4,368,5,1.0,3450,5,0,1
135,138,1212,4,57,2,0.697411765,2805,1,1,0
136,139,1212,4,49,2,0.875,1746,0,2,1
137,140,1205,4,164,3,0.7742035159999999,1877,2,1,0
138,141,1319,4,93,9,0.7331782170000001,20952,2,7,0
139,142,1198,4,5,24,0.703508738,56650,7,17,0
140,143,1205,4,12,3,0.60316078,4926,0,3,0
141,144,1212,4,244,2,0.5659074129999999,3521,0,2,1
142,145,1260,6,1,96,0.6964122420000001,81229,34,62,0
143,146,1198,4,589,5,0.81516749,7493,5,0,1
144,147,1205,4,70,2,0.7242706590000001,4175,0,2,0
145,148,1205,4,184,5,0.578678645,6289,3,2,0
146,149,1205,4,18,13,0.637958402,16443,5,8,0
147,150,1198,4,144,5,0.677541231,8610,1,4,0
148,151,1198,4,579,7,0.720488019,4549,7,0,1
149,152,1198,4,178,2,0.55,3557,0,2,1
150,153,1189,4,472,2,0.627160691,3124,2,0,1
151,154,1189,4,26,2,0.63,1604,0,2,1
152,155,1189,4,23,3,0.533333333,1947,0,3,0
153,156,1174,6,89,27,0.8167115290000001,106399,20,7,1
154,157,1183,4,238,9,0.7343098290000001,10367,7,2,1
155,158,1183,4,393,2,0.45,2977,2,0,1
156,159,1183,4,49,3,0.854638813,5122,0,3,0
157,160,1183,4,47,9,0.50629099,6282,2,7,0
158,161,1183,4,72,4,0.7301325479999999,6111,2,2,0
159,162,1183,4,2,11,0.7189638070000001,35090,8,3,0
160,163,1183,4,493,2,0.660715826,2319,2,0,1
161,164,923,4,43,5,0.577081348,5667,3,2,0
162,165,1183,4,1,2,0.38,2020,0,2,0
163,166,1174,4,6,13,0.42932113,18192,8,5,0
164,167,1174,4,17,10,0.627426471,12376,2,8,0
165,168,1174,4,209,2,0.528613473,1529,0,2,1
166,169,1183,4,7,20,0.578275679,26393,13,7,0
167,170,1174,4,15,15,0.69725079,20264,0,15,0
168,171,1174,4,174,2,0.8257119340000001,1215,1,1,0
169,172,1173,4,15,3,0.783333333,2070,1,2,0
170,173,1174,4,677,2,0.55,16254,2,0,1
171,174,1174,4,4,4,0.334449041,7977,0,4,0
172,175,1173,4,76,5,0.703964657,7017,2,3,0
173,176,1173,4,504,4,1.37097171,8130,4,0,1
174,177,1163,4,22,9,0.8771835290000001,20934,0,9,0
175,178,1173,4,34,3,0.931988417,5180,2,1,0
176,179,2546,4,67,8,0.778967912,8352,5,3,0
177,180,1174,4,304,16,0.703977865,26293,12,4,1
178,181,1174,4,71,9,0.660147335,16493,5,4,0
179,182,1174,4,1,11,0.54395777,9993,0,11,0
180,183,1174,4,8,25,0.643937338,40982,9,16,0
181,184,920,4,314,3,0.278878583,4744,1,2,1
182,185,2550,4,156,5,0.41787797,11489,2,3,0
183,186,1183,4,149,8,0.478131558,10292,6,2,0
184,187,914,4,143,5,0.703433396,5863,2,3,0
185,188,920,4,101,9,0.7979575170000001,16289,0,9,1
186,189,914,4,165,9,0.6747566070000001,14113,4,5,0
187,190,1173,4,132,15,0.644940258,16906,7,8,0
188,191,1173,4,48,6,0.8142550140000001,5584,2,4,0
189,192,1173,4,7,21,0.729940947,25401,14,7,0
190,193,1173,5,56,38,0.7233803529999999,35588,26,12,0
191,194,1174,4,8,35,0.7737514879999999,45358,14,21,0
192,195,1173,4,45,3,0.6434917410000001,3935,2,1,0
193,196,1173,4,70,12,0.65776314,14878,6,6,0
194,197,1173,4,180,2,0.14,1914,0,2,1
195,198,1173,4,163,4,0.602721037,5248,1,3,0
196,199,1173,4,47,2,0.875,3106,0,2,1
197,200,1173,4,185,3,0.374584633,3527,2,1,0
198,201,1174,4,186,5,0.740063551,5350,3,2,0
199,202,1174,4,2,16,0.551196166,16277,6,10,0
200,203,1174,4,64,11,0.452762051,13671,1,10,0
201,204,1174,4,32,14,0.778005519,13046,6,8,0
202,205,1174,4,443,3,0.7895972090000001,3153,3,0,1
203,206,1174,4,681,2,0.525,3934,2,0,1
204,207,1173,4,114,2,0.589519595,2373,1,1,0
205,208,1174,4,37,21,0.869544395,27875,13,8,0
206,209,1174,4,545,2,0.546177184,1648,2,0,1
207,210,1174,4,230,7,0.509904447,10884,5,2,0
208,211,1174,4,455,5,0.57799734,5263,5,0,1
209,212,1174,4,158,7,0.535810558,10684,2,5,0
210,213,1173,4,204,5,0.647771648,6525,2,3,1
211,214,1173,4,340,5,0.463908801,5022,3,2,1
212,215,1174,4,75,2,0.33,3934,0,2,1
213,216,1174,4,357,4,0.985793328,6145,2,2,1
214,217,1173,4,174,9,0.639275273,8141,3,6,1
215,218,1173,4,275,11,0.5425675010000001,14259,9,2,1
216,219,1173,4,3,4,0.565,5144,0,4,0
217,220,1173,4,55,4,0.74923429,5681,1,3,0
218,221,1163,5,11,11,1.4141324030000002,17341,2,9,0
219,222,1163,4,213,5,0.694954128,6104,3,2,0
220,223,1163,4,48,4,0.377469613,5430,2,2,0
221,224,1155,4,215,5,0.788455193,9820,2,3,1
222,225,1155,4,120,2,0.510987023,2543,0,2,1
223,226,1155,4,530,2,0.5,3667,2,0,1
224,227,1152,4,74,10,0.5029818229999999,16064,8,2,0
225,228,1152,4,247,2,0.38,1186,0,2,1
226,229,1155,5,12,46,0.81813663,44119,24,22,0
227,230,1155,4,100,5,0.817073288,10411,0,5,0
228,231,1155,4,28,2,0.92,1294,0,2,1
229,232,1148,5,69,3,0.677070611,2096,0,3,1
230,233,1128,4,644,2,0.5370026529999999,2262,2,0,1
231,234,1128,4,632,2,1.0,1380,2,0,1
232,235,1128,4,89,5,0.655079506,7861,0,5,0
233,236,1135,6,80,5,0.591968936,8563,1,4,0
234,237,1121,4,142,3,0.573333333,3588,0,3,1
235,238,1099,4,155,4,0.360955085,3874,1,3,1
236,239,1096,4,238,7,0.4908459570000001,14457,3,4,0
237,240,1070,4,283,8,0.7969356320000001,18565,6,2,1
238,241,1086,4,87,2,0.7724901909999999,3823,0,2,0
239,242,1058,5,11,39,0.589922155,60505,8,31,0
240,243,1114,4,530,2,0.5148116070000001,4618,2,0,1
241,244,1070,4,158,2,0.69,1134,1,1,0
242,245,1058,4,434,5,0.483521271,9755,5,0,1
243,246,1058,4,2,23,0.772457052,18860,8,15,0
244,247,2455,4,271,8,0.653866773,10073,7,1,0
245,248,1047,4,1,2,0.880288504,2253,0,2,0
246,249,1043,4,297,7,0.8221261000000001,5456,6,1,1
247,250,1058,4,59,2,0.575751373,4006,1,1,0
248,251,1058,4,185,2,0.679251218,2257,0,2,1
249,252,1047,4,82,7,0.695714286,9156,1,6,0
250,253,1013,4,506,6,0.7579149959999999,6235,6,0,1
251,254,1058,4,234,2,0.705,3934,0,2,1
252,255,1022,4,32,5,0.8009724570000001,8278,2,3,0
253,256,1034,4,395,5,0.77,1900,5,0,1
254,257,1022,4,83,2,0.9,2657,0,2,0
255,258,1022,4,33,9,0.686169618,9657,4,5,0
256,259,1022,4,20,17,0.6944946479999999,24478,10,7,0
257,260,997,4,125,2,0.48,5107,0,2,1
258,261,997,4,10,15,0.593241172,26620,5,10,0
259,262,997,4,164,2,0.77,4196,0,2,1
260,263,997,4,32,7,0.779039348,5642,2,5,0
261,264,997,4,43,14,0.683979893,17307,6,8,0
262,265,997,4,42,10,0.818720782,12578,6,4,0
263,266,975,4,49,2,0.385,1746,0,2,1
264,267,994,4,8,4,0.507704731,5263,0,4,0
265,268,975,4,42,13,0.554793849,25491,8,5,0
266,269,975,4,9,2,0.555,2616,0,2,1
267,270,994,4,563,3,0.652856556,2433,3,0,1
268,271,975,4,100,10,0.7094436759999999,18083,6,4,0
269,272,975,5,10,45,0.6511346379999999,81656,10,35,0
270,273,975,4,97,7,0.648960807,13982,1,6,0
271,274,975,4,338,4,0.552215517,5800,2,2,1
272,275,975,4,445,3,0.493618848,5242,3,0,1
273,276,974,5,1,34,0.64671082,31783,0,34,0
274,277,974,4,46,3,0.769964602,2825,0,3,0
275,278,975,4,21,32,0.697205007,40662,9,23,0
276,279,975,4,19,23,0.650820709,26404,0,23,0
277,280,974,4,320,3,0.748433446,5011,0,3,1
278,281,996,4,75,7,0.766467896,8083,3,4,0
279,282,964,4,271,2,0.625,3434,0,2,1
280,283,964,4,268,2,0.465706848,2497,0,2,1
281,284,960,4,12,12,0.643622371,18971,1,11,0
282,285,960,4,33,7,0.729543831,7278,5,2,0
283,286,960,5,13,26,0.785209898,32492,10,16,0
284,287,946,4,164,2,0.34,2352,0,2,1
285,288,946,5,13,56,0.684551314,75409,17,39,0
286,289,937,4,219,2,0.910145655,1991,0,2,1
287,290,930,4,32,37,0.73489397,54890,11,26,0
288,291,936,4,90,2,0.778186127,2321,0,2,1
289,293,936,4,129,2,0.532233153,2033,1,1,0
290,294,930,4,40,3,0.858164308,5088,0,3,1
291,295,937,4,1,29,0.700734594,51702,19,10,0
292,296,914,4,575,2,0.815784008,1926,2,0,1
293,297,914,4,15,3,0.400942534,4159,0,3,1
294,298,1076,4,83,15,0.469070081,23002,13,2,0
295,299,914,4,232,7,0.709551651,7115,5,2,0
296,300,898,4,66,6,0.6211608789999999,5961,3,3,0
297,301,898,4,37,3,0.673333333,5901,0,3,0
298,302,898,4,179,4,0.667765637,2654,0,4,1
299,303,898,4,21,15,0.643056014,21227,5,10,0
300,304,898,4,339,2,1.0,1158,1,1,1
301,305,890,4,98,29,0.604486526,37256,6,23,1
302,306,876,4,16,7,0.674671954,6935,5,2,0
303,307,890,4,113,11,0.538892715,13068,6,5,0
304,308,876,4,152,4,0.615,3204,0,4,1
305,309,883,4,348,4,0.585683125,5043,3,1,1
306,310,875,6,2,78,0.7349542579999999,100891,30,48,0
307,311,862,4,49,56,0.655425946,63130,31,25,0
308,312,853,4,225,2,0.835,3858,0,2,1
309,313,853,4,146,2,1.41,1619,0,2,1
310,314,853,4,259,2,0.81,1298,0,2,1
311,315,853,4,278,8,0.740716808,7645,7,1,1
312,316,848,4,48,5,0.461929087,3328,2,3,0
313,317,841,4,17,12,0.7285856209999999,18722,2,10,0
314,318,831,4,475,7,0.8642857140000001,9156,7,0,1
315,319,831,4,26,2,0.531763311,4639,0,2,0
316,320,827,4,629,2,0.45,2750,2,0,1
317,321,813,4,514,2,0.85,1158,2,0,1
318,322,821,4,135,3,0.569647192,3543,1,2,0
319,323,797,4,470,4,0.6074163570000001,5380,4,0,1
320,324,806,4,345,4,0.6785821740000001,5318,2,2,1
321,325,806,4,310,6,0.6621682320000001,9796,4,2,1
322,326,806,4,572,3,0.766881343,5124,3,0,1
323,327,813,4,135,2,0.562045169,2391,0,2,0
324,328,806,4,24,19,0.6007959860000001,25013,9,10,0
325,329,797,4,98,4,0.917856746,3602,0,4,1
326,330,1913,4,240,4,0.717510605,5186,3,1,0
327,331,797,4,49,8,0.739292042,12981,5,3,0
328,332,797,4,192,4,1.142732111,3382,0,4,1
329,333,797,4,363,6,0.606007752,4902,5,1,1
330,334,778,4,18,15,0.437536185,36825,0,15,0
331,335,794,4,197,3,0.862542857,3500,2,1,0
332,336,778,4,6,6,0.740952255,11373,0,6,0
333,337,748,4,522,8,0.759752599,18472,8,0,1
334,338,748,4,131,6,0.510586064,10835,3,3,0
335,339,748,4,78,3,0.591789474,3990,2,1,0
336,340,778,4,351,4,0.601737371,7166,3,1,1
337,341,764,4,497,2,0.5719182829999999,2888,2,0,1
338,342,762,4,592,2,0.72503882,2576,2,0,1
339,343,798,4,419,3,0.431969758,7407,3,0,1
340,344,764,4,194,3,0.56,3858,2,1,0
341,345,764,4,286,2,0.820139307,2656,1,1,1
342,346,762,4,243,5,0.579120582,8517,3,2,1
343,347,762,4,75,4,1.094015471,2844,0,4,0
344,348,762,4,573,5,0.7526154279999999,7169,5,0,1
345,349,757,4,130,8,0.8054734179999999,7900,3,5,0
346,350,739,4,617,2,0.5,2928,2,0,1
347,351,757,4,75,25,0.625511148,47765,13,12,0
348,352,757,4,473,2,0.783105543,3951,2,0,1
349,353,757,4,276,2,0.63,1158,0,2,1
350,354,734,4,483,5,0.583077419,7750,5,0,1
351,355,734,4,158,2,0.34,904,0,2,1
352,356,734,4,253,2,0.790641948,1807,0,2,1
353,357,734,4,19,14,0.7604760190000001,19495,1,13,0
354,358,728,4,705,2,0.4,2196,2,0,1
355,359,720,4,671,2,0.25,1096,2,0,1
356,360,728,4,111,4,0.5779638779999999,7087,0,4,1
357,361,720,4,85,8,0.7093757620000001,13120,3,5,0
358,362,715,4,558,2,0.45,2158,2,0,1
359,363,715,4,44,27,0.828807651,16782,19,8,0
360,364,715,4,76,15,0.7076989440000001,17040,7,8,0
361,365,720,4,646,4,0.50387571,11972,4,0,1
362,366,708,4,47,19,0.6316954779999999,31006,11,8,0
363,367,708,4,32,4,0.455346123,22102,1,3,0
364,368,863,4,493,5,0.925769463,4971,5,0,1
365,369,708,4,338,2,0.72297619,2520,1,1,1
366,370,708,4,200,4,0.592813841,3728,3,1,0
367,371,702,4,9,14,0.714655259,17825,3,11,0
368,372,694,4,16,5,0.636525185,19178,3,2,0
369,373,687,4,44,4,0.862829327,4160,1,3,0
370,374,768,4,27,23,0.843578791,25517,13,10,0
371,375,680,4,112,3,0.49421309,4721,1,2,0
372,376,673,4,213,4,0.828395282,5596,0,4,1
373,377,680,5,18,48,0.767032026,56173,11,37,0
374,378,673,4,239,5,0.592917137,4429,1,4,1
375,379,673,4,170,21,0.66829441,29931,12,9,1
376,380,667,4,86,6,0.713314873,5056,5,1,0
377,381,667,4,15,9,0.839334193,17828,3,6,0
378,382,673,4,226,2,0.85734951,4286,0,2,1
379,383,658,4,123,9,0.550365718,8996,1,8,1
380,384,658,4,84,5,0.5874130679999999,4515,1,4,0
381,385,652,4,171,4,0.724993969,11606,0,4,1
382,386,652,4,329,3,0.39763176,5806,1,2,1
383,387,652,4,229,5,0.821084371,3532,4,1,0
384,388,645,4,338,6,0.5191875539999999,5785,5,1,1
385,389,652,4,114,5,0.380491803,2806,2,3,0
386,390,645,4,4,2,0.93,2266,0,2,0
387,391,640,4,96,5,0.445688889,6075,2,3,0
388,392,640,4,51,3,0.683333333,36696,1,2,0
389,393,640,4,56,3,0.770463593,3969,1,2,0
390,394,631,4,30,36,0.736979863,44743,12,24,0
391,395,631,4,61,5,0.6363150329999999,6958,1,4,0
392,396,631,4,190,4,0.503383595,11606,2,2,0
393,397,631,5,7,45,0.6344577220000001,49458,9,36,0
394,398,631,4,49,5,0.619066577,8967,0,5,0
395,399,620,4,102,6,0.507733333,8550,0,6,0
396,400,620,4,4,29,0.661600622,39897,10,19,0
397,401,620,4,121,6,0.5362617270000001,10446,0,6,1
398,402,620,4,104,4,0.6052314639999999,5314,0,4,0
399,403,616,4,47,2,0.82,5420,0,2,1
400,404,620,4,146,7,0.7623414000000001,12232,0,7,1
401,405,616,4,29,5,0.764899408,6760,2,3,0
402,406,610,4,424,2,0.37318686,2344,2,0,1
403,407,610,4,107,2,0.58,2572,0,2,1
404,408,610,4,165,2,0.61,3934,1,1,0
405,409,610,4,45,17,0.704924945,29312,5,12,0
406,410,609,4,26,9,0.761111111,26037,5,4,0
407,411,596,4,327,2,0.25,2234,1,1,1
408,412,596,4,252,2,0.574644809,3660,1,1,1
409,413,603,4,108,2,0.476829268,1476,0,2,1
410,414,596,4,9,4,0.653399542,3927,0,4,0
411,415,596,4,72,2,0.62,2616,0,2,1
412,416,587,4,393,2,0.4,2192,2,0,1
413,417,587,4,184,3,0.712361789,5119,0,3,1
414,418,587,4,258,4,0.56169121,4346,2,2,1
415,419,587,4,17,16,0.555306573,19457,8,8,0
416,420,576,4,340,2,0.560426267,3472,0,2,1
417,421,576,4,7,8,0.644403971,11887,0,8,0
418,422,575,4,127,4,0.923978588,3456,0,4,1
419,423,568,4,300,2,0.33,3499,0,2,1
420,424,568,4,26,16,0.7609324690000001,37642,0,16,0
421,425,568,4,61,9,0.6175901970000001,10283,2,7,0
422,426,568,4,20,11,0.621418282,15272,6,5,0
423,427,568,4,332,2,1.0,1526,1,1,1
424,429,560,4,28,5,0.492767054,8341,0,5,0
425,430,553,4,12,3,0.6189237670000001,4460,2,1,0
426,431,553,4,77,11,0.8134461540000001,9100,6,5,0
427,432,553,4,413,4,0.85639881,3024,4,0,1
428,433,547,4,195,4,0.7107265340000001,10089,0,4,1
429,434,553,4,442,2,0.8,2892,2,0,1
430,435,547,4,167,2,0.758803681,1630,0,2,1
431,436,547,4,403,2,0.344150509,3043,2,0,1
432,437,526,4,1,31,0.836129032,11780,0,31,0
433,438,533,4,310,4,0.615739068,5534,1,3,1
434,439,533,4,180,3,0.4521077220000001,3639,0,3,1
435,440,533,4,177,2,0.445,2616,0,2,1
436,441,533,4,356,2,1.0,3183,1,1,1
437,442,672,4,205,4,0.597989533,5541,2,2,0
438,443,526,4,30,9,0.44906031,13696,2,7,0
439,444,526,4,282,3,0.8803161270000001,4049,1,2,1
440,445,526,4,434,2,1.0,1560,2,0,1
441,446,519,4,35,4,0.59,5504,0,4,0
442,447,519,4,234,4,0.653824592,5815,2,2,0
443,448,519,4,241,6,0.458735632,10440,4,2,1
444,449,552,4,80,6,0.716129325,6619,5,1,0
445,450,516,4,359,3,0.5679429429999999,4662,2,1,1
446,451,516,4,174,2,0.43768359,2206,0,2,1
447,452,516,4,271,3,0.373390615,8205,1,2,1
448,453,512,4,16,5,0.773812519,9857,1,4,0
449,454,498,4,27,2,0.51,1866,0,2,1
450,455,505,4,235,4,0.656721044,7356,2,2,1
451,456,505,4,200,2,0.415,1774,1,1,0
452,457,498,4,179,5,0.807100527,4556,0,5,1
453,458,498,4,93,9,0.493896718,9721,0,9,1
454,459,498,4,158,5,0.698,9835,2,3,1
455,460,498,4,339,2,0.608266327,5099,1,1,1
456,461,498,4,15,3,0.746507246,4830,0,3,1
457,462,491,4,161,6,0.7068916820000001,13525,0,6,1
458,463,483,5,27,28,0.74050291,22509,2,26,0
459,464,491,4,8,10,0.6026441570000001,11758,0,10,0
460,465,491,4,55,2,0.8212676440000001,3684,0,2,0
461,466,483,4,379,2,0.6,2092,2,0,1
462,467,482,4,121,3,0.582308762,5033,2,1,0
463,468,477,4,48,2,0.885,1208,0,2,1
464,469,477,4,316,3,0.25,4089,2,1,1
465,470,477,4,10,4,0.625350809,11559,0,4,0
466,471,470,4,43,7,0.465509806,12289,3,4,0
467,472,470,4,99,3,0.73,3858,0,3,0
468,473,463,4,221,5,0.6329454870000001,7778,0,5,1
469,474,463,4,53,3,0.6266666670000001,1644,0,3,0
470,475,2627,4,29,7,0.485021352,13582,2,5,0
471,476,462,4,259,6,0.640561709,7584,0,6,1
472,477,462,4,175,2,0.28,1746,0,2,1
473,478,462,4,183,3,0.463827206,5440,2,1,0
474,479,462,4,125,3,0.429265403,4220,0,3,0
475,480,462,6,86,13,0.707472366,21803,5,8,0
476,481,455,4,17,2,0.322346609,2787,0,2,0
477,482,442,4,106,2,0.29,5344,0,2,0
478,483,442,4,318,4,0.469771592,9807,1,3,1
479,484,442,4,21,6,0.6812082209999999,9245,0,6,0
480,485,433,4,156,2,0.695,2892,0,2,1
481,486,433,4,59,5,0.676227025,10827,0,5,0
482,487,426,4,22,8,0.665441277,16169,0,8,0
483,488,433,4,310,3,0.5867624810000001,1983,0,3,1
484,490,424,4,87,17,0.579478174,25085,5,12,1
485,491,424,4,68,3,0.686666667,1968,1,2,0
486,492,421,4,219,3,0.652257109,1688,1,2,1
487,493,421,4,231,2,0.885,1976,0,2,1
488,494,414,4,389,2,0.4,4154,2,0,1
489,495,414,4,276,6,0.572321725,4824,1,5,1
490,496,414,4,27,27,0.655197747,33730,0,27,0
491,497,386,4,79,4,0.4497313570000001,8636,0,4,0
492,498,395,4,144,3,0.763333333,4659,0,3,0
493,499,379,4,114,2,0.3,1312,0,2,1
494,500,386,5,2,65,0.69095287,75026,0,65,0
495,501,379,4,244,3,0.815200305,5242,1,2,1
496,502,386,4,4,6,0.531390071,9870,1,5,0
