,MEMBER_NO,L,R,F,M,C,K,runoff_flag
196,199,1173,47,2,3106,0.875,1.0,1
197,200,1173,185,3,3527,0.37458463299999994,0.0,0
198,201,1174,186,5,5350,0.740063551,1.0,0
199,202,1174,2,16,16277,0.551196166,1.0,0
200,203,1174,64,11,13671,0.452762051,1.0,0
201,204,1174,32,14,13046,0.778005519,1.0,0
202,205,1174,443,3,3153,0.7895972090000001,0.0,1
203,206,1174,681,2,3934,0.525,0.0,1
204,207,1173,114,2,2373,0.589519595,1.0,0
205,208,1174,37,21,27875,0.869544395,1.0,0
206,209,1174,545,2,1648,0.546177184,0.0,1
207,210,1174,230,7,10884,0.509904447,0.0,0
208,211,1174,455,5,5263,0.57799734,0.0,1
209,212,1174,158,7,10684,0.535810558,1.0,0
210,213,1173,204,5,6525,0.647771648,1.0,1
211,214,1173,340,5,5022,0.46390880100000004,1.0,1
212,215,1174,75,2,3934,0.33,1.0,1
213,216,1174,357,4,6145,0.985793328,1.0,1
214,217,1173,174,9,8141,0.639275273,1.0,1
215,218,1173,275,11,14259,0.5425675010000001,0.0,1
216,219,1173,3,4,5144,0.565,1.0,0
217,220,1173,55,4,5681,0.74923429,1.0,0
218,221,1163,11,11,17341,1.4141324030000002,1.0,0
219,222,1163,213,5,6104,0.694954128,1.0,0
220,223,1163,48,4,5430,0.377469613,1.0,0
221,224,1155,215,5,9820,0.788455193,1.0,1
222,225,1155,120,2,2543,0.510987023,1.0,1
223,226,1155,530,2,3667,0.5,0.0,1
224,227,1152,74,10,16064,0.5029818229999999,0.0,0
225,228,1152,247,2,1186,0.38,1.0,1
226,229,1155,12,46,44119,0.81813663,1.0,0
227,230,1155,100,5,10411,0.817073288,1.0,0
228,231,1155,28,2,1294,0.92,1.0,1
229,232,1148,69,3,2096,0.677070611,1.0,1
230,233,1128,644,2,2262,0.5370026529999999,0.0,1
231,234,1128,632,2,1380,1.0,0.0,1
232,235,1128,89,5,7861,0.655079506,1.0,0
233,236,1135,80,5,8563,0.591968936,1.0,0
234,237,1121,142,3,3588,0.573333333,1.0,1
235,238,1099,155,4,3874,0.360955085,1.0,1
236,239,1096,238,7,14457,0.4908459570000001,1.0,0
237,240,1070,283,8,18565,0.7969356320000001,0.0,1
238,241,1086,87,2,3823,0.7724901909999999,1.0,0
239,242,1058,11,39,60505,0.589922155,1.0,0
240,243,1114,530,2,4618,0.5148116070000001,0.0,1
241,244,1070,158,2,1134,0.69,1.0,0
242,245,1058,434,5,9755,0.48352127100000003,0.0,1
243,246,1058,2,23,18860,0.772457052,1.0,0
244,247,2455,271,8,10073,0.653866773,0.0,0
245,248,1047,1,2,2253,0.880288504,1.0,0
246,249,1043,297,7,5456,0.8221261000000001,0.0,1
247,250,1058,59,2,4006,0.575751373,1.0,0
248,251,1058,185,2,2257,0.679251218,1.0,1
249,252,1047,82,7,9156,0.695714286,1.0,0
250,253,1013,506,6,6235,0.7579149959999999,0.0,1
251,254,1058,234,2,3934,0.705,1.0,1
252,255,1022,32,5,8278,0.8009724570000001,1.0,0
253,256,1034,395,5,1900,0.77,0.0,1
254,257,1022,83,2,2657,0.9,1.0,0
255,258,1022,33,9,9657,0.686169618,1.0,0
256,259,1022,20,17,24478,0.6944946479999999,1.0,0
257,260,997,125,2,5107,0.48,1.0,1
258,261,997,10,15,26620,0.593241172,1.0,0
259,262,997,164,2,4196,0.77,1.0,1
260,263,997,32,7,5642,0.779039348,1.0,0
261,264,997,43,14,17307,0.683979893,1.0,0
262,265,997,42,10,12578,0.818720782,1.0,0
263,266,975,49,2,1746,0.385,1.0,1
264,267,994,8,4,5263,0.507704731,1.0,0
265,268,975,42,13,25491,0.554793849,1.0,0
266,269,975,9,2,2616,0.555,1.0,1
267,270,994,563,3,2433,0.652856556,0.0,1
268,271,975,100,10,18083,0.7094436759999999,1.0,0
269,272,975,10,45,81656,0.6511346379999999,1.0,0
270,273,975,97,7,13982,0.648960807,1.0,0
271,274,975,338,4,5800,0.552215517,1.0,1
272,275,975,445,3,5242,0.49361884799999994,0.0,1
273,276,974,1,34,31783,0.64671082,1.0,0
274,277,974,46,3,2825,0.769964602,1.0,0
275,278,975,21,32,40662,0.697205007,1.0,0
276,279,975,19,23,26404,0.650820709,1.0,0
277,280,974,320,3,5011,0.748433446,1.0,1
278,281,996,75,7,8083,0.766467896,1.0,0
279,282,964,271,2,3434,0.625,1.0,1
280,283,964,268,2,2497,0.46570684799999995,1.0,1
281,284,960,12,12,18971,0.643622371,1.0,0
282,285,960,33,7,7278,0.729543831,0.0,0
283,286,960,13,26,32492,0.785209898,1.0,0
284,287,946,164,2,2352,0.34,1.0,1
285,288,946,13,56,75409,0.684551314,1.0,0
286,289,937,219,2,1991,0.910145655,1.0,1
287,290,930,32,37,54890,0.73489397,1.0,0
288,291,936,90,2,2321,0.778186127,1.0,1
289,293,936,129,2,2033,0.532233153,1.0,0
290,294,930,40,3,5088,0.858164308,1.0,1
291,295,937,1,29,51702,0.700734594,1.0,0
292,296,914,575,2,1926,0.815784008,0.0,1
293,297,914,15,3,4159,0.40094253399999996,1.0,1
294,298,1076,83,15,23002,0.469070081,0.0,0
295,299,914,232,7,7115,0.709551651,0.0,0
296,300,898,66,6,5961,0.6211608789999999,1.0,0
297,301,898,37,3,5901,0.673333333,1.0,0
298,302,898,179,4,2654,0.667765637,1.0,1
299,303,898,21,15,21227,0.643056014,1.0,0
300,304,898,339,2,1158,1.0,1.0,1
301,305,890,98,29,37256,0.604486526,1.0,1
302,306,876,16,7,6935,0.674671954,0.0,0
303,307,890,113,11,13068,0.538892715,1.0,0
304,308,876,152,4,3204,0.615,1.0,1
305,309,883,348,4,5043,0.585683125,0.0,1
306,310,875,2,78,100891,0.7349542579999999,1.0,0
307,311,862,49,56,63130,0.655425946,1.0,0
308,312,853,225,2,3858,0.835,1.0,1
309,313,853,146,2,1619,1.41,1.0,1
310,314,853,259,2,1298,0.81,1.0,1
311,315,853,278,8,7645,0.740716808,0.0,1
312,316,848,48,5,3328,0.461929087,1.0,0
313,317,841,17,12,18722,0.7285856209999999,1.0,0
314,318,831,475,7,9156,0.8642857140000001,0.0,1
315,319,831,26,2,4639,0.531763311,1.0,0
316,320,827,629,2,2750,0.45,0.0,1
317,321,813,514,2,1158,0.85,0.0,1
318,322,821,135,3,3543,0.569647192,1.0,0
319,323,797,470,4,5380,0.6074163570000001,0.0,1
320,324,806,345,4,5318,0.6785821740000001,1.0,1
321,325,806,310,6,9796,0.6621682320000001,0.0,1
322,326,806,572,3,5124,0.766881343,0.0,1
323,327,813,135,2,2391,0.562045169,1.0,0
324,328,806,24,19,25013,0.6007959860000001,1.0,0
325,329,797,98,4,3602,0.9178567459999999,1.0,1
326,330,1913,240,4,5186,0.717510605,0.0,0
327,331,797,49,8,12981,0.739292042,1.0,0
328,332,797,192,4,3382,1.142732111,1.0,1
329,333,797,363,6,4902,0.606007752,0.0,1
330,334,778,18,15,36825,0.437536185,1.0,0
331,335,794,197,3,3500,0.862542857,0.0,0
332,336,778,6,6,11373,0.740952255,1.0,0
333,337,748,522,8,18472,0.759752599,0.0,1
334,338,748,131,6,10835,0.510586064,1.0,0
335,339,748,78,3,3990,0.591789474,0.0,0
336,340,778,351,4,7166,0.601737371,0.0,1
337,341,764,497,2,2888,0.5719182829999999,0.0,1
338,342,762,592,2,2576,0.72503882,0.0,1
339,343,798,419,3,7407,0.431969758,0.0,1
340,344,764,194,3,3858,0.56,0.0,0
341,345,764,286,2,2656,0.820139307,1.0,1
342,346,762,243,5,8517,0.579120582,1.0,1
343,347,762,75,4,2844,1.0940154709999999,1.0,0
344,348,762,573,5,7169,0.7526154279999999,0.0,1
345,349,757,130,8,7900,0.8054734179999999,1.0,0
346,350,739,617,2,2928,0.5,0.0,1
347,351,757,75,25,47765,0.625511148,1.0,0
348,352,757,473,2,3951,0.783105543,0.0,1
349,353,757,276,2,1158,0.63,1.0,1
350,354,734,483,5,7750,0.583077419,0.0,1
351,355,734,158,2,904,0.34,1.0,1
352,356,734,253,2,1807,0.790641948,1.0,1
353,357,734,19,14,19495,0.7604760190000001,1.0,0
354,358,728,705,2,2196,0.4,0.0,1
355,359,720,671,2,1096,0.25,0.0,1
356,360,728,111,4,7087,0.5779638779999999,1.0,1
357,361,720,85,8,13120,0.7093757620000001,1.0,0
358,362,715,558,2,2158,0.45,0.0,1
359,363,715,44,27,16782,0.828807651,0.0,0
360,364,715,76,15,17040,0.7076989440000001,1.0,0
361,365,720,646,4,11972,0.50387571,0.0,1
362,366,708,47,19,31006,0.6316954779999999,1.0,0
363,367,708,32,4,22102,0.455346123,1.0,0
364,368,863,493,5,4971,0.925769463,0.0,1
365,369,708,338,2,2520,0.72297619,1.0,1
366,370,708,200,4,3728,0.592813841,0.0,0
367,371,702,9,14,17825,0.714655259,1.0,0
368,372,694,16,5,19178,0.636525185,1.0,0
369,373,687,44,4,4160,0.862829327,1.0,0
370,374,768,27,23,25517,0.843578791,1.0,0
371,375,680,112,3,4721,0.49421309,1.0,0
372,376,673,213,4,5596,0.828395282,1.0,1
373,377,680,18,48,56173,0.767032026,1.0,0
374,378,673,239,5,4429,0.592917137,1.0,1
375,379,673,170,21,29931,0.66829441,1.0,1
376,380,667,86,6,5056,0.713314873,0.0,0
377,381,667,15,9,17828,0.839334193,1.0,0
378,382,673,226,2,4286,0.85734951,1.0,1
379,383,658,123,9,8996,0.550365718,1.0,1
380,384,658,84,5,4515,0.5874130679999999,1.0,0
381,385,652,171,4,11606,0.724993969,1.0,1
382,386,652,329,3,5806,0.39763176,1.0,1
383,387,652,229,5,3532,0.821084371,0.0,0
384,388,645,338,6,5785,0.5191875539999999,0.0,1
385,389,652,114,5,2806,0.38049180299999996,1.0,0
386,390,645,4,2,2266,0.93,1.0,0
387,391,640,96,5,6075,0.445688889,1.0,0
388,392,640,51,3,36696,0.683333333,1.0,0
389,393,640,56,3,3969,0.770463593,1.0,0
390,394,631,30,36,44743,0.736979863,1.0,0
391,395,631,61,5,6958,0.6363150329999999,1.0,0
392,396,631,190,4,11606,0.503383595,1.0,0
393,397,631,7,45,49458,0.6344577220000001,1.0,0
394,398,631,49,5,8967,0.619066577,1.0,0
395,399,620,102,6,8550,0.507733333,1.0,0
396,400,620,4,29,39897,0.661600622,1.0,0
397,401,620,121,6,10446,0.5362617270000001,1.0,1
398,402,620,104,4,5314,0.6052314639999999,1.0,0
399,403,616,47,2,5420,0.82,1.0,1
400,404,620,146,7,12232,0.7623414000000001,1.0,1
401,405,616,29,5,6760,0.764899408,1.0,0
402,406,610,424,2,2344,0.37318686,0.0,1
403,407,610,107,2,2572,0.58,1.0,1
404,408,610,165,2,3934,0.61,1.0,0
405,409,610,45,17,29312,0.704924945,1.0,0
406,410,609,26,9,26037,0.761111111,1.0,0
407,411,596,327,2,2234,0.25,1.0,1
408,412,596,252,2,3660,0.574644809,1.0,1
409,413,603,108,2,1476,0.476829268,1.0,1
410,414,596,9,4,3927,0.653399542,1.0,0
411,415,596,72,2,2616,0.62,1.0,1
412,416,587,393,2,2192,0.4,0.0,1
413,417,587,184,3,5119,0.712361789,1.0,1
414,418,587,258,4,4346,0.56169121,1.0,1
415,419,587,17,16,19457,0.555306573,1.0,0
416,420,576,340,2,3472,0.560426267,1.0,1
417,421,576,7,8,11887,0.644403971,1.0,0
418,422,575,127,4,3456,0.923978588,1.0,1
419,423,568,300,2,3499,0.33,1.0,1
420,424,568,26,16,37642,0.7609324690000001,1.0,0
421,425,568,61,9,10283,0.6175901970000001,1.0,0
422,426,568,20,11,15272,0.621418282,1.0,0
423,427,568,332,2,1526,1.0,1.0,1
424,429,560,28,5,8341,0.492767054,1.0,0
425,430,553,12,3,4460,0.6189237670000001,0.0,0
426,431,553,77,11,9100,0.8134461540000001,1.0,0
427,432,553,413,4,3024,0.85639881,0.0,1
428,433,547,195,4,10089,0.7107265340000001,1.0,1
429,434,553,442,2,2892,0.8,0.0,1
430,435,547,167,2,1630,0.758803681,1.0,1
431,436,547,403,2,3043,0.344150509,0.0,1
432,437,526,1,31,11780,0.836129032,1.0,0
433,438,533,310,4,5534,0.615739068,1.0,1
434,439,533,180,3,3639,0.4521077220000001,1.0,1
435,440,533,177,2,2616,0.445,1.0,1
436,441,533,356,2,3183,1.0,1.0,1
437,442,672,205,4,5541,0.597989533,1.0,0
438,443,526,30,9,13696,0.44906031,1.0,0
439,444,526,282,3,4049,0.8803161270000001,1.0,1
440,445,526,434,2,1560,1.0,0.0,1
441,446,519,35,4,5504,0.59,1.0,0
442,447,519,234,4,5815,0.653824592,1.0,0
443,448,519,241,6,10440,0.458735632,0.0,1
444,449,552,80,6,6619,0.716129325,0.0,0
445,450,516,359,3,4662,0.5679429429999999,0.0,1
446,451,516,174,2,2206,0.43768359,1.0,1
447,452,516,271,3,8205,0.373390615,1.0,1
448,453,512,16,5,9857,0.773812519,1.0,0
449,454,498,27,2,1866,0.51,1.0,1
450,455,505,235,4,7356,0.656721044,1.0,1
451,456,505,200,2,1774,0.415,1.0,0
452,457,498,179,5,4556,0.807100527,1.0,1
453,458,498,93,9,9721,0.49389671799999996,1.0,1
454,459,498,158,5,9835,0.698,1.0,1
455,460,498,339,2,5099,0.608266327,1.0,1
456,461,498,15,3,4830,0.746507246,1.0,1
457,462,491,161,6,13525,0.7068916820000001,1.0,1
458,463,483,27,28,22509,0.74050291,1.0,0
459,464,491,8,10,11758,0.6026441570000001,1.0,0
460,465,491,55,2,3684,0.8212676440000001,1.0,0
461,466,483,379,2,2092,0.6,0.0,1
462,467,482,121,3,5033,0.582308762,0.0,0
463,468,477,48,2,1208,0.885,1.0,1
464,469,477,316,3,4089,0.25,0.0,1
465,470,477,10,4,11559,0.625350809,1.0,0
466,471,470,43,7,12289,0.465509806,1.0,0
467,472,470,99,3,3858,0.73,1.0,0
468,473,463,221,5,7778,0.6329454870000001,1.0,1
469,474,463,53,3,1644,0.6266666670000001,1.0,0
470,475,2627,29,7,13582,0.485021352,1.0,0
471,476,462,259,6,7584,0.640561709,1.0,1
472,477,462,175,2,1746,0.28,1.0,1
473,478,462,183,3,5440,0.463827206,0.0,0
474,479,462,125,3,4220,0.429265403,1.0,0
475,480,462,86,13,21803,0.707472366,1.0,0
476,481,455,17,2,2787,0.322346609,1.0,0
477,482,442,106,2,5344,0.29,1.0,0
478,483,442,318,4,9807,0.469771592,1.0,1
479,484,442,21,6,9245,0.6812082209999999,1.0,0
480,485,433,156,2,2892,0.695,1.0,1
481,486,433,59,5,10827,0.676227025,1.0,0
482,487,426,22,8,16169,0.665441277,1.0,0
483,488,433,310,3,1983,0.5867624810000001,1.0,1
484,490,424,87,17,25085,0.579478174,1.0,1
485,491,424,68,3,1968,0.686666667,1.0,0
486,492,421,219,3,1688,0.652257109,1.0,1
487,493,421,231,2,1976,0.885,1.0,1
488,494,414,389,2,4154,0.4,0.0,1
489,495,414,276,6,4824,0.572321725,1.0,1
490,496,414,27,27,33730,0.655197747,1.0,0
491,497,386,79,4,8636,0.4497313570000001,1.0,0
492,498,395,144,3,4659,0.763333333,1.0,0
493,499,379,114,2,1312,0.3,1.0,1
494,500,386,2,65,75026,0.69095287,1.0,0
495,501,379,244,3,5242,0.815200305,1.0,1
496,502,386,4,6,9870,0.531390071,1.0,0
497,503,379,125,2,4570,0.7,1.0,1
498,504,372,93,7,12511,0.646331229,1.0,0
499,505,372,53,5,9176,0.6749291629999999,1.0,1
500,506,598,168,2,3321,0.537940379,1.0,0
501,507,412,142,7,11965,0.6098729629999999,1.0,1
502,508,436,2,9,21548,0.635997308,1.0,0
503,509,515,403,3,3713,0.770535955,0.0,1
504,510,1079,21,9,7604,0.842573645,1.0,0
505,511,1098,90,8,15736,0.90625,1.0,0
506,512,410,281,2,2002,0.46973027,1.0,1
507,513,2403,191,9,8082,0.6847884190000001,1.0,1
508,514,398,13,2,2253,0.880288504,1.0,1
509,515,388,49,5,8541,0.801102915,1.0,0
510,516,475,107,9,13315,0.7556830640000001,1.0,0
511,517,381,330,2,3554,0.800337648,1.0,1
512,518,381,63,6,7767,0.68398867,1.0,1
513,519,378,139,3,2282,0.8495749340000001,1.0,1
514,520,410,3,29,31619,0.64308011,1.0,0
515,521,375,12,18,21171,0.738676019,1.0,0
516,522,375,112,7,17557,0.614916557,1.0,1
517,523,1126,81,18,23028,0.806438683,1.0,0
518,524,368,23,4,5156,0.973151668,1.0,0
519,525,2448,226,3,3106,0.85795235,0.0,1
520,526,1980,44,3,4508,0.7496273290000001,1.0,0
521,527,1416,11,18,33040,0.780026634,1.0,0
522,528,2676,64,2,1074,0.85,1.0,1
523,529,409,225,5,8105,0.550440469,1.0,1
524,530,3057,4,4,8543,0.7384174179999999,1.0,0
525,531,3044,36,40,49383,0.745155013,1.0,0
526,532,3050,70,2,1739,0.5746175960000001,1.0,1
527,533,3051,215,5,7875,0.631912381,0.0,0
528,534,3044,6,17,22544,0.666875,1.0,0
529,535,3042,115,26,35705,1.2712620079999999,0.0,1
530,536,3041,8,53,64410,0.690908399,1.0,0
531,537,3041,8,34,52394,0.63916708,1.0,0
532,538,3045,222,3,4123,0.86858113,1.0,1
533,539,3040,170,21,26095,0.784170914,1.0,1
534,540,3030,135,4,6255,0.525419664,0.0,0
535,541,3032,1,9,17695,0.7107120659999999,1.0,0
536,542,3031,2,22,25907,1.448369939,1.0,0
537,543,3055,1,22,24370,0.826027493,1.0,0
