MEMBER_NO,FFP_TIER,GENDER,age,ZL,ZR,ZF,ZM,ZC,K
880,4,ÄÐ,35,1.456455067,-0.234306183,0.427241439,-0.036512833,1.013030458,B
892,4,ÄÐ,43,1.442300814,-0.570345895,-0.281444717,-0.554260459,-0.350681857,B
898,5,ÄÐ,34,1.451736983,-0.719084784,0.923321749,0.412645107,0.801843907,B
899,4,ÄÐ,48,1.577945737,-0.355500833,-0.139707486,-0.326546503,3.636688126,B
903,4,ÄÐ,37,1.396299492,0.107242377,-0.494050564,-0.423968557,0.745012794,B
914,4,ÄÐ,46,1.425787519,-0.041496512,-0.352313333,-0.288594177,-0.564686856,B
915,5,ÄÐ,39,1.425787519,-0.774173261,2.624168525,2.298766459,3.807722753,B
926,4,ÄÐ,54,1.410453745,-0.592381286,0.427241439,0.186736143,-1.467006371,B
930,4,ÄÐ,56,1.401017577,-0.92291215,1.702876521,0.83515567,-0.252694033,B
942,4,ÄÐ,51,1.505994952,-0.427115853,-0.139707486,-0.221524485,1.057502708,B
945,4,Å®,57,1.402197098,-0.889859063,0.852453133,1.11003691,0.881838038,B
953,4,Å®,65,1.402197098,-0.443642397,0.214635592,-0.581667833,3.373020307,B
957,4,ÄÐ,46,1.406915182,-0.63094322,-0.352313333,-0.333006474,-0.087762604,B
971,4,ÄÐ,38,1.405735661,-0.542801656,2.340694062,1.17544411,-0.339624664,B
972,4,ÄÐ,47,1.370350029,-0.889859063,2.340694062,2.47731814,-0.813862613,B
974,4,ÄÐ,35,1.380965719,-0.812735195,-0.06883887,-0.405918639,0.257658591,B
978,5,ÄÐ,49,1.413992309,-0.895367911,1.773745137,0.669238931,0.127823923,B
987,4,ÄÐ,39,1.326707749,-0.944947541,0.214635592,1.00534739,0.375010413,B
992,4,ÄÐ,51,1.351477692,-0.383045071,-0.139707486,-0.344501421,0.336899101,B
1000,4,ÄÐ,47,1.332605355,-0.856805977,0.639847286,0.581079335,-0.443931198,B
1005,6,ÄÐ,40,1.384504282,-0.70255824,0.143766977,0.2833982,-0.251526738,B
1019,4,ÄÐ,50,1.372709071,-0.724593631,-0.06883887,-0.046392788,0.367993726,B
1023,4,ÄÐ,37,1.336143918,-0.625434372,0.427241439,0.602596736,0.313463611,B
1028,4,ÄÐ,46,1.304296849,-0.680522849,1.490270674,0.40338265,-0.403184393,B
1033,4,ÄÐ,56,1.32788727,-0.58136359,0.356372824,0.13724137,-1.287562619,B
1035,6,ÄÐ,44,1.304296849,-0.867823672,4.18327807,4.261219961,0.313991952,B
1047,4,ÄÐ,48,1.301937807,-0.884350216,-0.494050564,-0.381598751,0.433510419,B
1067,4,ÄÐ,43,1.307835412,-0.713575936,-0.06883887,-0.175212197,-0.148351866,B
1069,5,ÄÐ,37,1.317271581,-0.592381286,5.81325623,5.170460791,0.636154849,B
1076,6,ÄÐ,48,1.324348707,-0.201253096,-0.494050564,-0.614680182,0.786755519,B
1088,4,ÄÐ,66,1.266552175,-0.768664413,0.285504208,0.44703495,0.942122939,B
1090,4,ÄÐ,61,1.274808822,0.366158221,-0.06883887,-0.217819502,0.243090471,B
1101,4,ÄÐ,56,1.258295527,-0.052514207,1.773745137,1.946555574,3.81952445,B
1105,4,Å®,46,1.288963075,0.035627357,-0.06883887,-0.166567237,-0.704941698,B
1115,4,ÄÐ,42,1.248859359,-0.349991985,1.844613753,0.622451645,0.704113191,B
1125,5,ÄÐ,40,1.222909895,-0.840279434,3.049380219,4.072218327,-0.470999963,B
1128,4,ÄÐ,42,1.241782232,-0.92291215,1.490270674,0.586209312,-0.301257879,B
1133,4,ÄÐ,43,1.219371332,-0.862314825,1.277664827,1.911785733,-0.249249832,B
1153,4,ÄÐ,43,1.198139953,-0.8017175,-0.494050564,-0.396228684,-1.355340376,B
1154,5,ÄÐ,37,1.198139953,-0.708067088,1.135927596,0.890730415,0.036908496,B
1157,4,ÄÐ,44,1.215832769,-0.636452067,-0.06883887,-0.167137234,-0.044375197,B
1163,4,ÄÐ,45,1.189883305,-0.515257417,-0.139707486,-0.155594787,-0.426648876,B
1165,4,Å®,,1.178088094,-0.53178396,0.356372824,0.70647876,0.63149651,B
1175,4,ÄÐ,55,1.171010968,-0.548310504,-0.281444717,-0.115362472,2.341413997,B
1178,5,ÄÐ,61,1.193421868,-0.944947541,0.852453133,1.226316376,0.825350602,B
1187,4,Å®,38,1.145061504,-0.785190956,-0.06883887,-0.163194752,-0.058425016,B
1193,5,ÄÐ,39,1.174549531,-0.933929845,1.702876521,1.431847934,1.006719505,B
1198,4,ÄÐ,38,1.145061504,-0.774173261,0.356372824,0.147596323,-0.917848475,B
1200,4,ÄÐ,46,1.141522941,-0.944947541,0.356372824,0.43387751,-0.116771695,B
1202,4,ÄÐ,41,1.149779589,-0.713575936,0.639847286,0.7414861,0.260718311,B
1225,4,ÄÐ,42,1.029468439,-0.476695483,-0.494050564,1.575059777,1.585499927,B
1239,4,Å®,35,0.941004359,0.492861719,0.002029746,-0.166329738,-0.384630876,B
1249,4,Å®,57,1.266552175,-0.911894454,0.781584518,1.095026978,-0.071665344,B
1276,4,ÄÐ,45,0.536428632,-0.035987664,-0.352313333,-0.320371532,-0.650466173,B
1277,4,ÄÐ,33,0.529351506,-0.796208652,0.002029746,0.057441736,-1.185319117,B
1282,5,ÄÐ,42,0.49042731,-0.939438693,2.269825447,2.388256049,2.751133997,B
1284,4,ÄÐ,32,0.480991142,-0.245323878,-0.210576101,-0.267266775,-0.487747257,B
1289,4,ÄÐ,35,0.472734494,-0.327956594,0.072898361,0.062001715,-0.674712204,B
1303,4,ÄÐ,40,0.380731851,-0.388553919,0.143766977,0.403097651,0.049523347,B
1304,4,ÄÐ,33,0.442066946,0.134786616,-0.06883887,0.02599688,2.010558389,B
1312,4,ÄÐ,43,0.29226777,-0.895367911,-0.06883887,-0.114032478,-0.142568686,B
1330,4,ÄÐ,54,0.206162732,-0.28939466,0.356372824,-0.202287073,0.046627456,B
1334,4,ÄÐ,34,0.197906085,-0.46016894,0.427241439,0.378445264,-0.513283251,B
1347,4,ÄÐ,44,0.164879495,-0.763155565,-0.352313333,-0.698754797,-0.212748452,B
1349,4,ÄÐ,34,0.10472392,-0.300412355,-0.210576101,-0.263609292,0.655472931,B
1370,4,ÄÐ,60,-0.002612497,-0.096584989,-0.210576101,-0.183002161,-1.224177831,B
1371,4,ÄÐ,30,-0.002612497,0.950096081,-0.494050564,-0.479543302,0.34031492,B
1372,4,ÄÐ,44,-0.006151061,-0.856805977,0.427241439,0.502229697,-0.29105062,B
1376,4,ÄÐ,44,-0.01676675,-0.851297129,-0.139707486,-0.230501944,-0.368451104,B
1385,5,ÄÐ,33,-0.045075256,-0.944947541,1.490270674,1.233298844,0.271226614,B
1402,4,ÄÐ,31,-0.122923647,0.729742172,-0.352313333,-0.36867881,0.433868325,B
1404,4,ÄÐ,33,-0.145334547,-0.305921203,-0.494050564,-0.485765773,-0.34327497,B
1417,4,Å®,47,-0.11584652,-0.652978611,0.002029746,0.964307578,0.894134758,B
1432,4,ÄÐ,46,-0.263286654,-0.498730874,0.072898361,0.493822235,-0.388588324,B
1433,4,Å®,34,-0.263286654,0.333105135,0.072898361,0.175336195,0.062864333,B
1435,4,ÄÐ,36,-0.262107133,-0.509748569,-0.352313333,-0.473130831,0.313196609,B
1444,4,ÄÐ,54,-0.230260064,0.569985587,-0.494050564,-0.643607549,1.127863767,B
1447,4,ÄÐ,36,-0.297492765,-0.146164619,-0.494050564,-0.293344156,-1.643228522,B
1448,4,Å®,27,-0.275081865,-0.741120174,-0.352313333,-0.113984978,-0.63896287,B
1453,4,ÄÐ,34,-0.243234796,-0.845788281,-0.494050564,-0.481585792,-1.011217184,B
1460,4,Å®,45,-0.099333225,-0.504239722,0.923321749,0.683441366,1.326265958,B
1462,4,ÄÐ,40,-0.33641696,0.553459044,-0.281444717,-0.075320155,-0.647503227,B
1464,4,ÄÐ,38,-0.341135045,-0.559328199,0.498110055,1.518060039,0.48555643,B
1487,4,ÄÐ,39,-0.454369067,1.016202254,-0.494050564,-0.40354365,0.260239171,B
1490,4,Å®,32,-0.460266673,-0.085567294,-0.494050564,-0.486810768,0.496601526,B
1500,4,Å®,36,-0.5121656,-0.641960915,0.568978671,1.276713645,-0.238373326,B
1502,6,ÄÐ,30,-0.52278129,-0.928420998,6.734548234,2.953503457,0.427903468,B
1509,6,ÄÐ,37,-0.531037937,-0.823752891,0.143766977,0.052739258,0.182959741,B
1517,4,ÄÐ,56,-0.542833148,-0.735611327,0.285504208,0.04993677,3.340647757,B
1522,5,ÄÐ,31,-0.565244048,-0.889859063,0.710715902,0.075919151,0.854010059,B
1523,4,ÄÐ,45,-0.56760309,0.200892789,-0.210576101,-0.407343633,-0.087159255,B
1533,4,Å®,27,-0.580577822,-0.774173261,-0.352313333,-0.427768539,-0.545094327,B
1536,4,Å®,29,-0.579398301,-0.041496512,-0.06883887,0.176238691,-0.723865062,B
1570,4,Å®,35,-0.679657592,-0.625434372,0.923321749,0.058961729,-0.209288047,B
1572,4,ÄÐ,31,-0.687914239,-0.845788281,0.568978671,0.472684832,0.526316913,B
1573,4,ÄÐ,27,-0.686734718,-0.856805977,0.143766977,0.031981853,-0.488110379,B
1576,4,ÄÐ,50,-0.693811845,-0.790699804,-0.139707486,-0.361601343,-0.585344058,B
1593,4,ÄÐ,35,-0.729197477,-0.047005359,-0.494050564,-0.51915812,0.774828667,B
1608,4,ÄÐ,29,-0.775198799,-0.87333252,0.356372824,1.098779461,-0.202975184,B
1612,4,ÄÐ,44,-0.795250657,-0.851297129,1.773745137,1.463625288,1.000044987,B
1631,4,Å®,28,-0.820020599,-0.774173261,1.135927596,0.903697856,0.092465948,B
1658,4,ÄÐ,46,-0.867201442,0.074189291,0.143766977,0.039011821,-0.31109765,B
1690,6,Å®,43,-0.923818454,-0.840279434,1.419402059,1.65077443,0.20206865,B
1695,4,ÄÐ,49,-0.934434143,0.134786616,-0.06883887,-0.198439591,-0.280411669,B
1711,4,ÄÐ,29,-0.973358339,-0.553819351,0.710715902,0.04556679,-0.020691424,B
1715,4,ÄÐ,43,-0.981614986,-0.851297129,1.06505898,0.330280485,0.475653965,B
1716,4,ÄÐ,31,-0.912023243,-0.867823672,0.498110055,-0.05470525,0.309405624,B
1739,4,ÄÐ,48,-0.970999296,-0.564837047,-0.210576101,-0.319184037,3.775733706,B
1747,4,ÄÐ,44,-1.026436787,-0.074549598,-0.494050564,0.983259991,-0.120000768,B
1750,4,ÄÐ,47,-1.027616308,0.129277768,-0.210576101,-0.217202005,-1.187823752,B
1756,4,ÄÐ,38,-1.04059104,-0.840279434,0.214635592,0.079006637,-0.981183093,B
1758,4,ÄÐ,44,-1.041770561,-0.900876759,2.340694062,2.329641317,0.020427534,B
1760,4,Å®,34,-1.044129603,-0.074549598,0.002029746,-0.064822703,-0.574258282,B
1770,4,Å®,49,-1.06300194,0.603038674,-0.281444717,-0.37965126,-0.855686563,B
1773,4,ÄÐ,34,-1.064181461,0.377175916,-0.210576101,-0.542005515,-0.2584659,B
1801,6,ÄÐ,52,-0.222003416,-0.608907829,0.072898361,2.706789588,1.795276937,B
1807,4,ÄÐ,27,-1.10664422,-0.757646718,-0.06883887,0.094491566,0.236252449,B
1828,4,Å®,36,-1.137311767,0.773812954,-0.494050564,-0.531793062,-1.880417742,B
1846,4,ÄÐ,35,-1.16208171,-0.8017175,-0.281444717,-0.502200698,0.243896587,B
1891,4,Å®,22,-1.215160158,-0.730102479,-0.494050564,-0.35561637,-0.942363576,B
1998,4,ÄÐ,39,2.296274069,-0.41058931,0.710715902,0.266868276,0.701272436,B
2001,6,Å®,39,2.286837901,-0.900876759,0.002029746,6.149431303,1.755563533,B
2006,5,ÄÐ,45,2.271504127,-0.889859063,5.529781767,6.689266327,0.654674016,B
2009,4,ÄÐ,42,2.270324606,-0.058023055,0.072898361,-0.241569393,1.896071972,B
2013,4,ÄÐ,58,2.264427001,-0.785190956,0.568978671,0.736071124,-0.256622828,B
2014,4,ÄÐ,53,2.264427001,-0.647469763,3.261986066,2.464065701,-0.554544969,B
2017,4,ÄÐ,53,2.262067958,-0.763155565,-0.281444717,-0.347161409,1.772003842,B
2022,4,Å®,44,2.28565838,-0.394062767,0.923321749,0.243830881,0.302630047,B
2024,4,ÄÐ,73,2.264427001,-0.878841368,1.277664827,1.505757595,-0.66168008,B
2028,4,ÄÐ,40,2.254990832,-0.774173261,-0.352313333,-0.463915873,0.094620197,B
2033,4,ÄÐ,57,2.236118495,0.12376892,-0.494050564,-0.692627325,1.243390203,B
2047,4,Å®,34,2.223143763,-0.779682109,4.821095611,4.780677579,0.319421803,B
2050,4,ÄÐ,41,2.206630468,-0.58136359,-0.06883887,-0.032000354,0.661321505,B
2064,4,ÄÐ,56,2.199553342,-0.796208652,0.427241439,0.343390425,-0.030444971,B
2070,4,ÄÐ,52,2.187758131,-0.724593631,0.214635592,0.416587589,0.179949293,B
2071,5,ÄÐ,68,2.180681004,-0.928420998,4.466752532,3.148490063,-0.459243145,B
2078,4,ÄÐ,55,2.177142441,-0.889859063,1.206796212,1.127801828,0.347479713,B
2088,4,ÄÐ,63,2.154731541,-0.586872438,1.986350984,2.130142232,-0.252617808,B
2090,4,ÄÐ,42,2.147654415,-0.575854742,1.632007906,1.734041548,0.116344756,B
2098,4,ÄÐ,38,2.144115851,-0.394062767,-0.210576101,-0.30113412,0.139167585,B
2104,6,ÄÐ,47,2.134679683,-0.939438693,3.899803607,4.846179778,1.755615363,B
2110,5,ÄÐ,41,2.139397767,-0.724593631,2.411562678,2.579252673,3.47889407,B
2113,4,ÄÐ,57,2.135859204,-0.454660092,-0.494050564,-0.507473174,-0.860177502,B
2119,4,ÄÐ,40,2.13114112,-0.944947541,2.765905756,2.497790546,0.58229259,B
2125,5,ÄÐ,48,2.113448303,-0.911894454,2.198956831,2.294301479,0.148045738,B
2140,4,ÄÐ,57,2.102832614,0.068680443,-0.494050564,-0.557585444,-0.543316784,B
2145,4,ÄÐ,43,2.094575966,-0.834770586,0.356372824,0.210533534,-0.269675111,B
2152,4,ÄÐ,21,2.096935008,0.167839702,-0.281444717,-0.289924171,-1.47804512,B
2154,4,Å®,50,2.100473572,0.228437028,1.844613753,0.633424095,0.068391109,B
2156,4,ÄÐ,37,2.08749884,-0.586872438,0.143766977,0.336977954,0.465754843,B
2158,4,ÄÐ,44,2.094575966,0.008083118,-0.281444717,-0.404731145,-0.634847372,B
2160,4,ÄÐ,37,2.092216924,-0.421607006,0.143766977,0.449267439,-0.245990835,B
2161,4,ÄÐ,67,2.078062671,-0.542801656,1.490270674,1.259043726,-0.382767537,B
2175,4,ÄÐ,36,2.072165066,0.244963571,5.388044536,1.974200447,1.049740637,B
2179,4,Å®,39,2.066267461,-0.300412355,0.002029746,0.046849285,0.159866349,B
2187,4,ÄÐ,55,2.055651771,-0.23981503,-0.494050564,-0.108142505,-0.498939842,B
2198,4,ÄÐ,47,2.063908418,-0.906385607,0.356372824,-0.068527686,-0.732406214,B
2200,4,ÄÐ,55,2.12052543,-0.487713178,-0.06883887,0.352795382,-0.082122894,B
2205,5,ÄÐ,53,2.03206135,-0.900876759,4.041540838,1.734326547,0.390361026,B
2208,4,ÄÐ,38,2.028522786,-0.294903508,-0.494050564,-0.565517908,-1.371478024,B
2211,6,ÄÐ,47,2.027343265,-0.92291215,1.206796212,1.131506811,3.673959389,B
2215,4,ÄÐ,49,2.02144566,-0.438133549,0.498110055,0.424757552,-0.749312679,B
2229,4,ÄÐ,48,2.019086618,-0.669505154,1.206796212,0.195571103,0.427056202,B
2247,4,ÄÐ,42,1.995496196,0.272507809,0.852453133,0.889970419,0.193275817,B
2248,5,ÄÐ,49,2.000214281,-0.768664413,1.490270674,0.894245399,1.417147533,B
2249,4,ÄÐ,40,2.004932365,-0.845788281,0.002029746,-0.113794979,0.43445342,B
2252,4,ÄÐ,49,1.995496196,0.118260073,0.427241439,-0.032950349,-0.559304702,B
2262,4,Å®,49,1.983700986,-0.757646718,-0.139707486,-0.190934625,-0.672950097,B
2267,5,ÄÐ,37,1.975444338,-0.895367911,3.758066376,2.9222011,0.338600921,B
2281,5,Å®,43,1.973085296,-0.92291215,1.490270674,1.293956066,0.334268395,B
2282,4,ÄÐ,48,1.975444338,-0.542801656,0.143766977,-0.313769062,0.384676119,B
2287,4,ÄÐ,39,1.954212959,-0.768664413,-0.494050564,-0.522388105,-1.325165813,B
2290,4,ÄÐ,45,1.958931043,-0.570345895,0.852453133,-0.029340366,0.88577266,B
2302,4,Å®,61,1.945956311,0.096224682,0.072898361,0.279170719,-0.723923834,B
2303,6,ÄÐ,50,1.942417748,-0.878841368,5.104570073,5.795747924,0.482852804,B
2304,4,ÄÐ,40,1.930622538,-0.917403302,0.143766977,1.527654995,-0.428502606,B
2310,5,ÄÐ,47,1.940058706,-0.614416676,3.474591913,3.083082863,0.947905621,B
2316,4,ÄÐ,37,1.936520143,-0.92291215,2.482431294,2.043217631,0.074676833,B
2318,4,ÄÐ,38,1.941238227,-0.889859063,-0.139707486,0.014074435,-0.075356271,B
2320,4,ÄÐ,45,1.974264817,-0.504239722,0.072898361,0.035306838,-0.705823607,B
2332,4,Å®,34,1.923545411,0.327596287,-0.281444717,-0.373238789,-1.111298819,B
2337,4,ÄÐ,47,1.912929721,-0.675014002,0.568978671,0.286153187,-0.482326955,B
2343,4,ÄÐ,38,1.912929721,-0.349991985,0.568978671,0.431407521,0.291933861,B
2347,4,ÄÐ,43,1.914109243,0.289034353,-0.139707486,0.001391993,-0.70966877,B
2355,4,ÄÐ,46,1.883441695,-0.730102479,0.639847286,0.880327963,-0.120358387,B
2357,5,ÄÐ,38,1.879903131,-0.735611327,1.277664827,1.036127249,0.931290154,B
2358,4,ÄÐ,35,1.876364568,-0.933929845,0.143766977,-0.075605154,0.084633764,B
2362,4,ÄÐ,46,1.888159779,-0.730102479,0.781584518,0.39906017,-1.413954708,B
2371,4,ÄÐ,31,1.872826005,-0.87333252,-0.139707486,0.04124431,0.647857689,B
2391,4,ÄÐ,46,1.940058706,-0.933929845,1.135927596,0.488169761,0.145398845,B
2398,4,ÄÐ,44,1.831542768,-0.708067088,0.356372824,0.310663075,0.703265795,B
2407,4,ÄÐ,46,1.209935163,0.211910484,-0.494050564,-0.419693576,0.790566332,B
2411,4,Å®,37,1.123830125,-0.542801656,0.498110055,0.952432632,-0.658181413,B
2416,4,ÄÐ,57,1.212294205,-0.680522849,-0.352313333,-0.197252096,-0.064702425,B
2419,4,ÄÐ,34,1.234705106,0.459808633,-0.494050564,-0.547182992,-0.589675129,B
2421,4,ÄÐ,40,1.186344742,-0.305921203,-0.352313333,-0.257101822,0.791106289,B
2428,4,ÄÐ,53,1.222909895,-0.564837047,-0.06883887,-0.237341912,-0.43535983,B
2444,4,ÄÐ,53,1.116752999,-0.33897429,0.498110055,1.714519138,0.224927604,B
2449,4,ÄÐ,45,1.189883305,-0.790699804,0.498110055,0.103041527,0.042210529,B
2451,4,Å®,41,1.133266294,-0.272868117,-0.139707486,-0.294911648,-0.328778342,B
2470,4,Å®,42,1.205217079,-0.608907829,2.198956831,0.428985032,-0.065249205,B
2483,4,ÄÐ,48,1.174549531,-0.570345895,0.143766977,0.370797799,-0.861294185,B
2484,4,ÄÐ,34,1.174549531,0.338613982,-0.494050564,-0.538965529,-1.548315119,B
2486,4,Å®,33,1.188703784,0.090715834,0.214635592,-0.181482168,-0.728900898,B
2496,4,ÄÐ,47,1.227627979,-0.845788281,0.781584518,0.115296471,0.79143814,B
