MEMBER_NO,FLIGHT_COUNT,BASE_POINTS_SUM,SEG_KM_SUM,AVG_FLIGHT_INTERVAL,FFP_days,EXPENSE_SUM_YR_1,EXPENSE_SUM_YR_2,EXPENSE_SUM,runoff_flag,K
259,17,12256,24478,41.25,1022,8999,5610,14609,0,0
260,2,1819,5107,0,997,0,1834,1834,1,1
261,15,12999,26620,37.21428571,997,3740,10242,13982,0,1
262,2,4006,4196,2,997,0,2988,2988,1,1
263,7,3748,5642,97.16666667,997,1860,1435,3295,0,1
264,14,8096,17307,52.07692308,997,4491,5327,9818,0,1
265,10,8731,12578,75.44444444,997,6468,3210,9678,0,0
266,2,329,1746,5,975,0,716,716,1,1
267,4,1276,5263,115,994,0,2618,2618,0,1
268,13,12072,25491,40.83333333,975,6905,4703,11608,0,0
269,2,1198,2616,2,975,0,1421,1421,1,1
270,3,1135,2433,9,994,738,0,738,1,0
271,10,10884,18083,55.66666667,975,7225,4055,11280,0,0
272,45,42816,81656,11.81818182,975,8931,38456,47387,0,1
273,7,8016,13982,46.33333333,975,433,7064,7497,0,1
274,4,2159,5800,81.66666667,975,1016,1913,2929,1,1
275,3,1242,5242,120,975,2341,0,2341,1,0
276,34,17157,31783,11.03030303,974,0,21237,21237,0,1
277,3,2094,2825,145.5,974,0,2335,2335,0,1
278,32,24183,40662,22.16129032,975,7489,17479,24968,0,1
279,23,12319,26404,11.22727273,975,0,15945,15945,0,1
280,3,3391,5011,17,974,0,3217,3217,1,1
281,7,5148,8083,103.1666667,996,2752,3268,6020,0,1
282,2,1120,3434,5,964,0,2237,2237,1,1
283,2,443,2497,29,964,0,1155,1155,1,1
284,12,10039,18971,45.18181818,960,1360,9794,11154,0,1
285,7,4417,7278,100.8333333,960,3840,1077,4917,0,0
286,26,24016,32492,26.08,960,5968,18433,24401,0,1
287,2,0,2352,120,946,0,751,751,1,1
288,56,45005,75409,12.94545455,946,18676,29477,48153,0,1
289,2,1960,1991,39,937,0,1792,1792,1,1
290,37,33723,54890,18.16666667,930,10574,26506,37080,0,1
291,2,2361,2321,2,936,0,1950,1950,1,1
293,2,710,2033,425,936,360,731,1091,0,1
294,3,4602,5088,8,930,0,3784,3784,1,1
295,29,29552,51702,25.25,937,23002,9565,32567,0,0
296,2,1337,1926,112,914,1430,0,1430,1,0
297,3,763,4159,8,914,0,1502,1502,1,1
298,15,5565,23002,43.71428571,1076,9530,874,10404,0,0
299,7,4053,7115,75.16666667,914,3408,1573,4981,0,0
300,6,2777,5961,126.2,898,2076,1822,3898,0,1
301,3,3434,5901,67.5,898,0,3434,3434,0,1
302,4,1358,2654,1,898,0,2257,2257,1,1
303,15,11672,21227,39.07142857,898,1205,4035,5240,0,1
304,2,1000,1158,87,898,710,710,1420,1,1
305,29,17089,37256,11.5,890,4407,17813,22220,1,1
306,7,3262,6935,110.1666667,876,2999,1700,4699,0,0
307,11,4816,13068,57.8,890,3287,3698,6985,0,0
308,4,1667,3204,18.66666667,876,0,1943,1943,1,1
309,4,2507,5043,46.66666667,883,2300,0,2300,1,0
310,78,67686,100891,9.207792208,875,27721,41318,69039,0,1
311,56,30495,63130,12.34545455,862,21339,18696,40035,0,0
312,2,2303,3858,4,853,0,2739,2739,1,1
313,2,2191,1619,0,853,0,2341,2341,1,1
314,2,1220,1298,2,853,0,1134,1134,1,1
315,8,5148,7645,59.57142857,853,4891,0,4891,1,0
316,5,1121,3328,144.5,848,528,1293,1821,0,1
317,12,13342,18722,54.18181818,841,1930,10550,12480,0,1
318,7,8386,9156,38.5,831,7744,0,7744,1,0
319,2,1674,4639,91,831,0,2132,2132,0,1
320,2,516,2750,4,827,1216,0,1216,1,0
321,2,700,1158,157,813,1207,0,1207,1,0
322,3,2022,3543,170.5,821,353,1511,1864,0,1
323,4,3374,5380,72,797,2633,0,2633,1,0
324,4,2454,5318,22.66666667,806,1420,2085,3505,1,1
325,6,5744,9796,78.4,806,3927,2013,5940,1,0
326,3,3510,5124,23,806,3513,0,3513,1,0
327,2,815,2391,137,813,0,1256,1256,0,1
328,19,10361,25013,36.72222222,806,6582,6452,13034,0,1
329,4,3394,3602,25,797,0,3296,3296,1,1
330,4,3220,5186,159.6666667,1913,2714,887,3601,0,0
331,8,6593,12981,96,797,4303,4365,8668,0,0
332,4,3772,3382,56,797,0,3721,3721,1,1
333,6,2076,4902,68,797,2632,455,3087,1,0
334,15,12146,36825,16.35714286,778,0,12450,12450,0,1
335,3,2725,3500,266,794,1838,0,1838,0,0
336,6,7687,11373,15.2,778,0,7178,7178,0,1
337,8,11932,18472,21,748,11799,0,11799,1,0
338,6,5442,10835,103,748,2950,1954,4904,0,1
339,3,1682,3990,237,748,1152,486,1638,0,0
340,4,2734,7166,123,778,3255,473,3728,1,0
341,2,1135,2888,229,764,1495,0,1495,1,0
342,2,861,2576,20,762,1842,0,1842,1,0
343,3,2499,7407,67.5,798,2748,0,2748,1,0
344,3,1302,3858,111,764,1386,731,2117,0,0
345,2,2467,2656,86,764,710,1348,2058,1,1
346,5,3203,8517,107.75,762,2635,1844,4479,1,0
347,4,3343,2844,58.66666667,762,0,3296,3296,0,1
348,5,3830,7169,21,762,3535,0,3535,1,0
349,8,6750,7900,72.14285714,757,2653,3820,6473,0,1
350,2,1042,2928,5,739,1420,0,1420,1,0
351,25,22254,47765,26.79166667,757,13326,12444,25770,0,1
352,2,2194,3951,76,757,2773,0,2773,1,0
353,2,700,1158,6,757,0,895,895,1,1
354,5,3487,7750,54.5,734,4260,0,4260,1,0
355,2,0,904,3,734,0,448,448,1,1
356,2,1115,1807,3,734,0,1421,1421,1,1
357,14,12326,19495,46.76923077,734,1080,12103,13183,0,1
358,2,742,2196,13,728,880,0,880,1,0
359,2,0,1096,1,720,350,0,350,1,0
360,4,1959,7087,5.333333333,728,0,3649,3649,1,1
361,8,8212,13120,63.85714286,720,3351,4964,8315,0,1
362,2,896,2158,4,715,1062,0,1062,1,0
363,27,12236,16782,25.03846154,715,11614,4864,16478,0,0
364,15,10685,17040,33.85714286,715,4866,5916,10782,0,1
365,4,4134,11972,17.66666667,720,4512,0,4512,1,0
366,19,13315,31006,32.88888889,708,12186,4846,17032,0,0
367,4,7945,22102,207,708,624,4533,5157,0,1
368,5,3883,4971,56.25,863,4267,0,4267,1,0
369,2,1244,2520,106,708,1281,568,1849,1,1
370,4,1320,3728,162.3333333,708,1676,613,2289,0,0
371,14,10291,17825,43.76923077,702,2300,10162,12462,0,1
372,5,6190,19178,114,694,5360,896,6256,0,0
373,4,3280,4160,115.3333333,687,735,2823,3558,0,1
374,23,21441,25517,30.13636364,768,10443,10555,20998,0,0
375,3,1798,4721,153,680,820,1310,2130,0,1
376,4,5025,5596,9.666666667,673,0,4240,4240,1,1
377,48,37085,56173,13.74468085,680,10456,30319,40775,0,1
378,5,2397,4429,58,673,584,1411,1995,1,1
379,21,16858,29931,24.55,673,10233,8949,19182,1,0
380,6,2732,5056,103.2,667,3462,238,3700,0,0
381,9,12427,17828,53,667,4444,9005,13449,0,1
382,2,3824,4286,1,673,0,2414,2414,1,1
383,9,4239,8996,36.625,658,183,4677,4860,1,1
384,5,1842,4515,120.75,658,756,2039,2795,0,1
385,4,6474,11606,14,652,0,6678,6678,1,1
386,3,1151,5806,111,652,680,1465,2145,1,1
387,5,2863,3532,102.25,652,2390,970,3360,0,0
388,6,2131,5785,40.2,645,2831,347,3178,1,0
389,5,1500,2806,120,652,1119,1286,2405,0,1
390,2,2174,2266,9,645,0,2008,2008,0,1
391,5,886,6075,90.5,640,596,2102,2698,0,1
392,3,20936,36696,217.5,640,4250,4400,8650,0,1
393,3,2320,3969,271,640,1229,1707,2936,0,1
394,36,29368,44743,16.57142857,631,12381,18136,30517,0,1
395,5,2650,6958,85,631,930,2840,3770,0,1
396,4,5329,11606,133,631,2272,2397,4669,0,1
397,45,22931,49458,13.04545455,631,7136,23817,30953,0,1
398,5,4296,8967,57.75,631,0,5219,5219,0,1
399,6,4543,8550,46.4,620,0,4435,4435,0,1
400,29,20536,39897,20.03571429,620,9124,16021,25145,0,1
401,6,2053,10446,31.4,620,0,5153,5153,1,1
402,4,1847,5314,79.66666667,620,0,2769,2769,0,1
403,2,5086,5420,5,616,0,3789,3789,1,1
404,7,7663,12232,33.16666667,620,0,8441,8441,1,1
405,5,4946,6760,142.75,616,1145,3363,4508,0,1
406,2,422,2344,21,610,823,0,823,1,0
407,2,868,2572,4,610,0,1461,1461,1,1
408,2,2671,3934,363,610,765,1309,2074,0,1
409,17,14950,29312,31.625,610,5267,14513,19780,0,1
410,9,16906,26037,72.875,609,7142,6300,13442,0,0
411,2,0,2234,186,596,295,263,558,1,1
412,2,1924,3660,183,596,338,1579,1917,1,1
413,2,532,1476,39,603,0,744,744,1,1
414,4,1960,3927,46.33333333,596,0,2678,2678,0,1
415,2,1677,2616,3,596,0,1587,1587,1,1
416,2,836,2192,33,587,832,0,832,1,0
417,3,3671,5119,31.5,587,0,3249,3249,1,1
418,4,1324,4346,87.33333333,587,698,1681,2379,1,1
419,16,7072,19457,37.86666667,587,5633,4699,10332,0,1
420,2,1285,3472,1,576,0,1164,1164,1,1
421,8,5644,11887,48.14285714,576,0,6591,6591,0,1
422,4,3412,3456,17,575,0,3658,3658,1,1
423,2,1314,3499,0,568,0,1056,1056,1,1
424,16,26756,37642,14.93333333,568,0,24468,24468,0,1
425,9,4434,10283,61.125,568,1680,4160,5840,0,1
426,11,6109,15272,47.6,568,0,2641,2641,0,0
427,2,1382,1526,98,568,830,830,1660,1,1
429,5,2731,8341,29.5,560,0,4003,4003,0,1
430,3,1582,4460,182.5,553,1585,714,2299,0,0
431,11,6247,9100,44.7,553,4233,4195,8428,0,0
432,4,2156,3024,34,553,2808,0,2808,1,0
433,4,3969,10089,39.33333333,547,0,5993,5993,1,1
434,2,1908,2892,2,553,1936,0,1936,1,0
435,2,846,1630,60,547,0,653,653,1,1
436,2,726,3043,2,547,950,0,950,1,0
437,31,14600,11780,6.933333333,526,0,17103,17103,0,1
438,4,2115,5534,58.33333333,533,810,2334,3144,1,1
439,3,532,3639,9.5,533,0,847,847,1,1
440,2,479,2616,5,533,0,1139,1139,1,1
441,2,2956,3183,87,533,2250,690,2940,1,1
442,4,2712,5541,155.6666667,672,1331,900,2231,0,1
443,9,3373,13696,47.875,526,1603,3436,5039,0,1
444,3,3754,4049,76.5,526,1032,2448,3480,1,1
445,2,1000,1560,3,526,1460,0,1460,1,0
446,4,2663,5504,27.66666667,519,0,3304,3304,0,1
447,4,3257,5815,91.66666667,519,1223,2119,3342,0,1
448,6,2233,10440,54.4,519,2884,1276,4160,1,0
449,6,3811,6619,93.8,552,4115,598,4713,0,0
450,3,2414,4662,13.5,516,1785,584,2369,1,0
451,2,241,2206,14,516,0,929,929,1,1
452,3,763,8205,74.5,516,680,1854,2534,1,1
453,5,7341,9857,102.25,512,338,5977,6315,0,1
454,2,331,1866,13,498,0,979,979,1,1
455,4,4912,7356,79.66666667,505,2210,2113,4323,1,1
456,2,326,1774,259,505,200,464,664,0,1
457,5,2979,4556,22.75,498,0,3730,3730,1,1
458,9,3158,9721,22.25,498,0,4892,4892,1,1
459,5,4960,9835,55,498,2210,3723,5933,1,1
460,2,1835,5099,135,498,846,1586,2432,1,1
461,3,3436,4830,1.5,498,0,3468,3468,1,1
462,6,8870,13525,11.6,491,0,8249,8249,1,1
463,28,16365,22509,15.55555556,483,2550,19340,21890,0,1
464,10,5484,11758,22.66666667,491,0,7037,7037,0,1
465,2,3309,3684,100,491,0,2884,2884,0,1
466,2,1377,2092,4,483,1188,0,1188,1,0
467,3,1526,5033,144.5,482,2210,357,2567,0,0
468,2,1124,1208,10,477,0,1221,1221,1,1
469,3,0,4089,31,477,625,338,963,1,0
470,4,6847,11559,92.33333333,477,0,4995,4995,0,1
471,7,3198,12289,70.33333333,470,1648,3645,5293,0,1
472,3,1955,3858,66.5,470,0,2759,2759,0,1
473,5,3382,7778,17.75,463,0,4458,4458,1,1
474,3,700,1644,87.5,463,0,1316,1316,0,1
475,7,4756,13582,81.83333333,2627,3020,3105,6125,0,1
476,6,3022,7584,8.8,462,0,4833,4833,1,1
477,2,0,1746,5,462,0,520,520,1,1
478,3,2006,5440,103.5,462,1400,844,2244,0,0
479,3,844,4220,115,462,0,1634,1634,0,1
480,13,13215,21803,28,462,6389,7890,14279,0,1
481,2,0,2787,168,455,0,782,782,0,1
482,2,0,5344,187,442,0,1340,1340,0,1
483,4,2169,9807,17,442,775,2690,3465,1,1
484,6,5280,9245,52.4,442,0,5723,5723,0,1
485,2,1866,2892,4,433,0,1960,1960,1,1
486,5,5297,10827,40.25,433,0,6204,6204,0,1
487,8,7217,16169,45.42857143,426,0,8570,8570,0,1
488,3,1148,1983,14.5,433,0,1521,1521,1,1
